_id,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
276123,GO-20212129206,2021-11-05,2021-11-05,2021,November,5,309,Friday    ,13,2021.0,November,5.0,309.0,Friday    ,9,D53,"Apartment (Rooming House, Condo)",Apartment,1460,100,Assault Peace Officer,Assault,097,Yonge-St.Clair (97),097,Yonge-St.Clair (97),-79.39937115457325,43.69469753145216
365656,GO-20232588420,2023-11-08,2023-11-08,2023,November,8,312,Wednesday ,9,2023.0,November,8.0,312.0,Wednesday ,8,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,072,Regent Park (72),072,Regent Park (72),-79.3625011595878,43.65884959795334
96489,GO-20162142939,2016-12-03,2016-12-03,2016,December,3,338,Saturday  ,5,2016.0,December,3.0,338.0,Saturday  ,4,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,210,Unlawfully In Dwelling-House,Break and Enter,018,New Toronto (18),018,New Toronto (18),-79.50933426837337,43.6026043262879
212766,GO-202078118,2020-01-12,2020-01-12,2020,January,12,12,Sunday    ,11,2020.0,January,12.0,12.0,Sunday    ,11,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),-79.45129047782125,43.69869466213947
345778,GO-20231415908,2023-06-20,2023-06-19,2023,June,20,171,Tuesday   ,8,2023.0,June,19.0,170.0,Monday    ,11,D22,Jails / Detention Centres,Other,1430,100,Assault,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),-79.51581404956458,43.61207981273608
99817,GO-201769025,2017-01-12,2017-01-01,2017,January,12,12,Thursday  ,11,2017.0,January,1.0,1.0,Sunday    ,1,D52,Bar / Restaurant,Commercial,1430,100,Assault,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3905119378378,43.64500678411042
214060,GO-2020172945,2020-01-25,2020-01-17,2020,January,25,25,Saturday  ,17,2020.0,January,17.0,17.0,Friday    ,20,NSA,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,NSA,NSA,NSA,NSA,,
392337,GO-20241154165,2024-05-28,2024-01-05,2024,May,28,149,Tuesday   ,14,2024.0,January,5.0,5.0,Friday    ,14,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1480,100,Assault - Resist/ Prevent Seiz,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.37995624627325,43.65407279317647
139207,GO-2018343816,2018-02-23,2018-02-23,2018,February,23,54,Friday    ,14,2018.0,February,23.0,54.0,Friday    ,12,D22,Jails / Detention Centres,Other,1430,100,Assault,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),-79.51581404956458,43.61207981273608
354694,GO-20231960590,2023-08-22,2023-08-22,2023,August,22,234,Tuesday   ,16,2023.0,August,22.0,234.0,Tuesday   ,16,D43,Bar / Restaurant,Commercial,1430,100,Assault,Assault,136,West Hill (136),136,West Hill (136),-79.18972080508038,43.76765389604864
344559,GO-20231340354,2023-06-11,2023-06-11,2023,June,11,162,Sunday    ,23,2023.0,June,11.0,162.0,Sunday    ,23,D11,Ttc Subway Station,Transit,1430,100,Assault,Assault,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.43533392206238,43.65986071074255
368408,GO-20232747044,2023-11-28,2023-11-28,2023,November,28,332,Tuesday   ,18,2023.0,November,28.0,332.0,Tuesday   ,7,NSA,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,NSA,NSA,NSA,NSA,,
374097,GO-202462723,2024-01-09,2024-01-07,2024,January,9,9,Tuesday   ,11,2024.0,January,7.0,7.0,Sunday    ,14,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.36273673384513,43.75930490136906
70994,GO-2016396050,2016-03-06,2016-03-06,2016,March,6,66,Sunday    ,22,2016.0,March,6.0,66.0,Sunday    ,22,D13,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,Assault,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),-79.46558635496724,43.70742005564885
15032,GO-20142361123,2014-06-24,2014-06-24,2014,June,24,175,Tuesday   ,22,2014.0,June,24.0,175.0,Tuesday   ,22,D41,Homeless Shelter / Mission,Other,1410,100,Aggravated Assault,Assault,124,Kennedy Park (124),124,Kennedy Park (124),-79.25921660716287,43.71816200070964
65566,GO-201611013,2016-01-03,2016-01-03,2016,January,3,3,Sunday    ,2,2016.0,January,3.0,3.0,Sunday    ,2,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1610,200,Robbery - Mugging,Robbery,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.28022088466051,43.71666108667751
248615,GO-2021149318,2021-01-24,2021-01-24,2021,January,24,24,Sunday    ,13,2021.0,January,24.0,24.0,Sunday    ,13,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,141,Golfdale-Cedarbrae-Woburn (141),137,Woburn (137),-79.21106853836375,43.76289989874722
303,GO-20141283755,2014-01-05,2014-01-05,2014,January,5,5,Sunday    ,0,2014.0,January,5.0,5.0,Sunday    ,0,D51,Ttc Subway Train,Transit,1610,220,Robbery - Other,Robbery,074,North St.James Town (74),074,North St.James Town (74),-79.37684305633893,43.67235631145995
302259,GO-20221294477,2022-07-08,2022-07-07,2022,July,8,189,Friday    ,10,2022.0,July,7.0,188.0,Thursday  ,14,D51,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.36590236067401,43.667230106793504
406906,GO-20242026971,2024-09-15,2024-09-15,2024,September,15,259,Sunday    ,18,2024.0,September,15.0,259.0,Sunday    ,18,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,060,Woodbine-Lumsden (60),060,Woodbine-Lumsden (60),-79.31884204121454,43.69967280087644
157174,GO-20181528792,2018-08-19,2018-08-19,2018,August,19,231,Sunday    ,1,2018.0,August,19.0,231.0,Sunday    ,1,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,085,South Parkdale (85),085,South Parkdale (85),-79.42735822421264,43.63895588349699
414091,GO-20242454377,2024-11-10,2024-11-10,2024,November,10,315,Sunday    ,13,2024.0,November,10.0,315.0,Sunday    ,13,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.37900614819914,43.65795029705406
49141,GO-20151192554,2015-07-14,2015-07-13,2015,July,14,195,Tuesday   ,10,2015.0,July,13.0,194.0,Monday    ,20,D23,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.5883384041939,43.75622878374969
303640,GO-20221390507,2022-07-20,2022-07-19,2022,July,20,201,Wednesday ,21,2022.0,July,19.0,200.0,Tuesday   ,21,D14,Pharmacy,Other,1420,100,Assault With Weapon,Assault,081,Trinity-Bellwoods (81),081,Trinity-Bellwoods (81),-79.40832823267064,43.65634659822776
394330,GO-20241273707,2024-06-12,2024-05-22,2024,June,12,164,Wednesday ,7,2024.0,May,22.0,143.0,Wednesday ,7,D32,Ttc Subway Train,Transit,1430,100,Assault,Assault,105,Lawrence Park North (105),105,Lawrence Park North (105),-79.4021953350534,43.725094674516015
325524,GO-2023131643,2023-01-17,2022-12-01,2023,January,17,17,Tuesday   ,23,2022.0,December,1.0,335.0,Thursday  ,8,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3877038387514,43.64092207990738
234766,GO-20201605727,2020-08-26,2020-08-26,2020,August,26,239,Wednesday ,1,2020.0,August,26.0,239.0,Wednesday ,1,D14,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,162,West Queen West (162),082,Niagara (82),-79.41884582705006,43.644169687393216
63365,GO-20152111843,2015-12-09,2015-11-22,2015,December,9,343,Wednesday ,20,2015.0,November,22.0,326.0,Sunday    ,2,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1410,100,Aggravated Assault,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.38946473862629,43.64594508504874
243850,GO-20209030714,2020-11-27,2019-11-28,2020,November,27,332,Friday    ,13,2019.0,November,28.0,332.0,Thursday  ,12,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,063,The Beaches (63),063,The Beaches (63),-79.30499604021689,43.6728157172513
185704,GO-2019919133,2019-05-20,2016-07-21,2019,May,20,140,Monday    ,13,2016.0,July,21.0,203.0,Thursday  ,0,D31,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,027,York University Heights (27),027,York University Heights (27),-79.50075361075926,43.76337037347378
310019,GO-20221779153,2022-09-13,2022-09-13,2022,September,13,256,Tuesday   ,1,2022.0,September,13.0,256.0,Tuesday   ,1,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,Break and Enter,067,Playter Estates-Danforth (67),067,Playter Estates-Danforth (67),-79.35195369173672,43.67755555374352
121270,GO-20171533586,2017-08-25,2017-08-24,2017,August,25,237,Friday    ,6,2017.0,August,24.0,236.0,Thursday  ,13,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,Break and Enter,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.40319621403853,43.7542032886344
191493,GO-20191272093,2019-07-08,2019-07-08,2019,July,8,189,Monday    ,11,2019.0,July,8.0,189.0,Monday    ,10,D52,Jails / Detention Centres,Other,1430,100,Assault,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.38170524337946,43.65188949099311
138117,GO-2018274888,2018-02-12,2018-02-12,2018,February,12,43,Monday    ,23,2018.0,February,12.0,43.0,Monday    ,23,D51,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,073,Moss Park (73),073,Moss Park (73),-79.37009915354126,43.65616289526663
347548,GO-20231539044,2023-07-03,2023-07-03,2023,July,3,184,Monday    ,14,2023.0,July,3.0,184.0,Monday    ,14,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,100,Robbery With Weapon,Robbery,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.37956284727365,43.65628719539094
